date,r_fighter,b_fighter,winner,weight_class
03/02/2024,Loik Radzhabov,Abdul-Kareem Al-Selwady,Red,Lightweight
02/24/2024,Brandon Royval,Brandon Moreno,Red,Flyweight
02/24/2024,Brian Ortega,Yair Rodriguez,Red,Featherweight
02/24/2024,Daniel Zellhuber,Francisco Prado,Red,Lightweight
02/24/2024,Yazmin Jauregui,Sam Hughes,Red,Women's Strawweight
02/24/2024,Manuel Torres,Chris Duncan,Red,Lightweight
02/24/2024,Raoni Barcelos,Cristian Quinonez,Red,Bantamweight
02/24/2024,Jesus Aguilar,Mateus Mendonca,Red,Flyweight
02/24/2024,Edgar Chairez,Daniel Lacerda,Red,Flyweight
02/24/2024,Fares Ziam,Claudio Puelles,Red,Lightweight
02/24/2024,Ronaldo Rodriguez,Denys Bondar,Red,Flyweight
02/24/2024,Felipe dos Santos,Victor Altamirano,Red,Flyweight
02/24/2024,Muhammad Naimov,Erik Silva,Red,Featherweight
02/17/2024,Ilia Topuria,Alexander Volkanovski,Red,UFC Featherweight Title
02/17/2024,Robert Whittaker,Paulo Costa,Red,Middleweight
02/17/2024,Ian Machado Garry,Geoff Neal,Red,Welterweight
02/17/2024,Merab Dvalishvili,Henry Cejudo,Red,Bantamweight
02/17/2024,Anthony Hernandez,Roman Kopylov,Red,Middleweight
02/17/2024,Amanda Lemos,Mackenzie Dern,Red,Women's Strawweight
02/17/2024,Marcos Rogerio de Lima,Junior Tafa,Red,Heavyweight
02/17/2024,Rinya Nakamura,Carlos Vera,Red,Bantamweight
02/17/2024,Zhang Mingyang,Brendson Ribeiro,Red,Light Heavyweight
02/17/2024,Danny Barlow,Josh Quinlan,Red,Welterweight
02/17/2024,Oban Elliott,Val Woodburn,Red,Welterweight
02/17/2024,Miranda Maverick,Andrea Lee,Red,Women's Flyweight
02/10/2024,Jack Hermansson,Joe Pyfer,Red,Middleweight
02/10/2024,Dan Ige,Andre Fili,Red,Featherweight
02/10/2024,Ihor Potieria,Robert Bryczek,Red,Middleweight
02/10/2024,Gregory Rodrigues,Brad Tavares,Red,Middleweight
02/10/2024,Michael Johnson,Darrius Flowers,Red,Lightweight
02/10/2024,Rodolfo Vieira,Armen Petrosyan,Red,Middleweight
02/10/2024,Carlos Prates,Trevin Giles,Red,Welterweight
02/10/2024,Bolaji Oki,Timmy Cuamba,Red,Lightweight
02/10/2024,Loma Lookboonmee,Bruna Brasil,Red,Women's Strawweight
02/10/2024,Marcin Prachnio,Devin Clark,Red,Light Heavyweight
02/10/2024,Max Griffin,Jeremiah Wells,Red,Welterweight
02/10/2024,Bogdan Guskov,Zac Pauga,Red,Light Heavyweight
02/10/2024,Hyder Amil,Fernie Garcia,Red,Featherweight
02/03/2024,Nassourdine Imavov,Roman Dolidze,Red,Middleweight
02/03/2024,Renato Moicano,Drew Dober,Red,Lightweight
02/03/2024,Randy Brown,Muslim Salikhov,Red,Welterweight
02/03/2024,Natalia Silva,Viviane Araujo,Red,Women's Flyweight
02/03/2024,Charles Radtke,Gilbert Urbina,Red,Welterweight
02/03/2024,Molly McCann,Diana Belbita,Red,Women's Strawweight
02/03/2024,Charles Johnson,Azat Maksum,Red,Flyweight
02/03/2024,Themba Gorimbo,Pete Rodriguez,Red,Welterweight
02/03/2024,JeongYeong Lee,Blake Bilder,Red,Featherweight
02/03/2024,Luana Carolina,Julija Stoliarenko,Red,Women's Flyweight
02/03/2024,MarQuel Mederos,Landon Quinones,Red,Lightweight
02/03/2024,Jamal Pogues,Thomas Petersen,Red,Heavyweight
01/20/2024,Dricus Du Plessis,Sean Strickland,Red,UFC Middleweight Title
01/20/2024,Raquel Pennington,Mayra Bueno Silva,Red,UFC Women's Bantamweight Title
01/20/2024,Neil Magny,Mike Malott,Red,Welterweight
01/20/2024,Chris Curtis,Marc-Andre Barriault,Red,Middleweight
01/20/2024,Movsar Evloev,Arnold Allen,Red,Featherweight
01/20/2024,Garrett Armfield,Brad Katona,Red,Bantamweight
01/20/2024,Sean Woodson,Charles Jourdain,Red,Featherweight
01/20/2024,Ramon Taveras,Serhiy Sidey,Red,Bantamweight
01/20/2024,Gillian Robertson,Polyana Viana,Red,Women's Strawweight
01/20/2024,Sam Patterson,Yohan Lainesse,Red,Welterweight
01/20/2024,Jasmine Jasudavicius,Priscila Cachoeira,Red,Women's Bantamweight
01/20/2024,Jimmy Flick,Malcolm Gordon,Red,Flyweight
01/13/2024,Magomed Ankalaev,Johnny Walker,Red,Light Heavyweight
01/13/2024,Jim Miller,Gabriel Benitez,Red,Lightweight
01/13/2024,Mario Bautista,Ricky Simon,Red,Bantamweight
01/13/2024,Brunno Ferreira,Phil Hawes,Red,Middleweight
01/13/2024,Waldo Cortes-Acosta,Andrei Arlovski,Red,Heavyweight
01/13/2024,Preston Parsons,Matthew Semelsberger,Red,Welterweight
01/13/2024,Marcus McGhee,Gaston Bolanos,Red,Bantamweight
01/13/2024,Farid Basharat,Taylor Lapilus,Red,Bantamweight
01/13/2024,Jean Silva,Westin Wilson,Red,Featherweight
01/13/2024,Nikolas Motta,Tom Nolan,Red,Lightweight
01/13/2024,Joshua Van,Felipe Bunes,Red,Flyweight
12/16/2023,Leon Edwards,Colby Covington,Red,UFC Welterweight Title
12/16/2023,Alexandre Pantoja,Brandon Royval,Red,UFC Flyweight Title
12/16/2023,Shavkat Rakhmonov,Stephen Thompson,Red,Welterweight
12/16/2023,Paddy Pimblett,Tony Ferguson,Red,Lightweight
12/16/2023,Josh Emmett,Bryce Mitchell,Red,Featherweight
12/16/2023,Alonzo Menifield,Dustin Jacoby,Red,Light Heavyweight
12/16/2023,Irene Aldana,Karol Rosa,Red,Women's Bantamweight
12/16/2023,Cody Garbrandt,Brian Kelleher,Red,Bantamweight
12/16/2023,Ariane Lipski,Casey O'Neill,Red,Women's Flyweight
12/16/2023,Tagir Ulanbekov,Cody Durden,Red,Flyweight
12/16/2023,Andre Fili,Lucas Almeida,Red,Featherweight
12/16/2023,Shamil Gaziev,Martin Buday,Red,Heavyweight
12/09/2023,Song Yadong,Chris Gutierrez,Red,Bantamweight
12/09/2023,Khalil Rountree Jr.,Anthony Smith,Red,Light Heavyweight
12/09/2023,Nasrat Haqparast,Jamie Mullarkey,Red,Lightweight
12/09/2023,Tim Elliott,Sumudaerji,Red,Bantamweight
12/09/2023,Andre Muniz,JunYong Park,Red,Middleweight
12/09/2023,Kevin Jousset,Song Kenan,Red,Welterweight
12/09/2023,HyunSung Park,Shannon Ross,Red,Flyweight
12/09/2023,Steve Garcia,Melquizael Costa,Red,Lightweight
12/09/2023,Luana Santos,Stephanie Egger,Red,Women's Bantamweight
12/09/2023,Tatsuro Taira,Carlos Hernandez,Red,Flyweight
12/09/2023,Talita Alencar,Rayanne Amanda,Red,Women's Strawweight
12/02/2023,Arman Tsarukyan,Beneil Dariush,Red,Lightweight
12/02/2023,Jalin Turner,Bobby Green,Red,Lightweight
12/02/2023,Deiveson Figueiredo,Rob Font,Red,Bantamweight
12/02/2023,Sean Brady,Kelvin Gastelum,Red,Welterweight
12/02/2023,Joaquim Silva,Clay Guida,Red,Lightweight
12/02/2023,Dustin Stoltzfus,Punahele Soriano,Red,Middleweight
12/02/2023,Miesha Tate,Julia Avila,Red,Women's Bantamweight
12/02/2023,Cody Brundage,Zach Reese,Red,Middleweight
12/02/2023,Drakkar Klose,Joe Solecki,Red,Lightweight
12/02/2023,Rodolfo Bellato,Ihor Potieria,Red,Light Heavyweight
12/02/2023,Jared Gooden,Wellington Turman,Red,Welterweight
12/02/2023,Veronica Hardy,Jamey-Lyn Horth,Red,Women's Flyweight
11/18/2023,Brendan Allen,Paul Craig,Red,Middleweight
11/18/2023,Michael Morales,Jake Matthews,Red,Welterweight
11/18/2023,Chase Hooper,Jordan Leavitt,Red,Lightweight
11/18/2023,Payton Talbott,Nick Aguirre,Red,Bantamweight
11/18/2023,Amanda Ribas,Luana Pinheiro,Red,Women's Strawweight
11/18/2023,Myktybek Orolbai,Uros Medic,Red,Welterweight
11/18/2023,Joanderson Brito,Jonathan Pearce,Red,Featherweight
11/18/2023,Jose Johnson,Chad Anheliger,Red,Bantamweight
11/18/2023,Christian Leroy Duncan,Denis Tiuliulin,Red,Middleweight
11/18/2023,Mick Parkin,Caio Machado,Red,Heavyweight
11/18/2023,Jeka Saragih,Lucas Alexander,Red,Featherweight
11/18/2023,Ailin Perez,Lucie Pudilova,Red,Women's Bantamweight
11/18/2023,Rafael Estevam,Charles Johnson,Red,Flyweight
11/11/2023,Alex Pereira,Jiri Prochazka,Red,UFC Light Heavyweight Title
11/11/2023,Tom Aspinall,Sergei Pavlovich,Red,UFC Interim Heavyweight Title
11/11/2023,Jessica Andrade,Mackenzie Dern,Red,Women's Strawweight
11/11/2023,Benoit Saint Denis,Matt Frevola,Red,Lightweight
11/11/2023,Diego Lopes,Pat Sabatini,Red,Featherweight
11/11/2023,Steve Erceg,Alessandro Costa,Red,Flyweight
11/11/2023,Loopy Godinez,Tabatha Ricci,Red,Women's Strawweight
11/11/2023,Mateusz Rebecki,Roosevelt Roberts,Red,Lightweight
11/11/2023,Jared Gordon,Mark Madsen,Red,Lightweight
11/11/2023,John Castaneda,Kyung Ho Kang,Red,Catch Weight
11/11/2023,Joshua Van,Kevin Borjas,Red,Flyweight
11/11/2023,Jamall Emmers,Dennis Buzukja,Red,Featherweight
11/04/2023,Jailton Almeida,Derrick Lewis,Red,Heavyweight
11/04/2023,Nicolas Dalby,Gabriel Bonfim,Red,Welterweight
11/04/2023,Rodrigo Nascimento,Don'Tale Mayes,Red,Heavyweight
11/04/2023,Caio Borralho,Abus Magomedov,Red,Middleweight
11/04/2023,Elves Brener,Kaynan Kruschewsky,Red,Catch Weight
11/04/2023,Vitor Petrino,Modestas Bukauskas,Red,Light Heavyweight
11/04/2023,Angela Hill,Denise Gomes,Red,Women's Strawweight
11/04/2023,Eduarda Moura,Montserrat Conejo Ruiz,Red,Women's Strawweight
11/04/2023,Marc Diakiese,Kaue Fernandes,Red,Lightweight
10/21/2023,Islam Makhachev,Alexander Volkanovski,Red,UFC Lightweight Title
10/21/2023,Khamzat Chimaev,Kamaru Usman,Red,Middleweight
10/21/2023,Ikram Aliskerov,Warlley Alves,Red,Middleweight
10/21/2023,Said Nurmagomedov,Muin Gafurov,Red,Bantamweight
10/21/2023,Muhammad Mokaev,Tim Elliott,Red,Flyweight
10/21/2023,Trevor Peek,Mohammad Yahya,Red,Lightweight
10/21/2023,Sedriques Dumas,Abu Azaitar,Red,Middleweight
10/21/2023,Mike Breeden,Anshul Jubli,Red,Lightweight
10/21/2023,Muhammad Naimov,Nathaniel Wood,Red,Featherweight
10/21/2023,Viktoriia Dudakova,Jinh Yu Frey,Red,Women's Strawweight
10/21/2023,Shara Magomedov,Bruno Silva,Red,Middleweight
10/14/2023,Edson Barboza,Sodiq Yusuff,Red,Featherweight
10/14/2023,Viviane Araujo,Jennifer Maia,Red,Women's Flyweight
10/14/2023,Jonathan Martinez,Adrian Yanez,Red,Bantamweight
10/14/2023,Michel Pereira,Andre Petroski,Red,Middleweight
10/14/2023,Christian Rodriguez,Cameron Saaiman,Red,Bantamweight
10/14/2023,Darren Elkins,TJ Brown,Red,Featherweight
10/14/2023,Tainara Lisboa,Ravena Oliveira,Red,Women's Bantamweight
10/14/2023,Terrance McKinney,Brendon Marotte,Red,Lightweight
10/14/2023,Melissa Dixon,Irina Alekseeva,Red,Women's Bantamweight
10/14/2023,Chris Gutierrez,Alatengheili,Red,Bantamweight
10/14/2023,Emily Ducote,Ashley Yoder,Red,Women's Strawweight
10/07/2023,Bobby Green,Grant Dawson,Red,Lightweight
10/07/2023,Joe Pyfer,Abdul Razak Alhassan,Red,Middleweight
10/07/2023,Joaquin Buckley,Alex Morono,Red,Welterweight
10/07/2023,Drew Dober,Ricky Glenn,Red,Lightweight
10/07/2023,Bill Algeo,Alexander Hernandez,Red,Featherweight
10/07/2023,Karolina Kowalkiewicz,Diana Belbita,Red,Women's Strawweight
10/07/2023,Nate Maness,Mateus Mendonca,Red,Flyweight
10/07/2023,Vanessa Demopoulos,Kanako Murata,Red,Women's Strawweight
10/07/2023,Aoriqileng,Johnny Munoz,Red,Bantamweight
10/07/2023,JJ Aldrich,Montana De La Rosa,Red,Women's Flyweight
09/23/2023,Mateusz Gamrot,Rafael Fiziev,Red,Lightweight
09/23/2023,Bryce Mitchell,Dan Ige,Red,Featherweight
09/23/2023,Marina Rodriguez,Michelle Waterson-Gomez,Red,Women's Strawweight
09/23/2023,Bryan Battle,AJ Fletcher,Red,Welterweight
09/23/2023,Charles Jourdain,Ricardo Ramos,Red,Featherweight
09/23/2023,Tim Means,Andre Fialho,Red,Welterweight
09/23/2023,Cody Brundage,Jacob Malkoun,Red,Middleweight
09/23/2023,Mohammed Usman,Jake Collier,Red,Heavyweight
09/23/2023,Mizuki,Hannah Goldy,Red,Women's Strawweight
09/23/2023,Montserrat Rendon,Tamires Vidal,Red,Women's Bantamweight
09/16/2023,Jack Della Maddalena,Kevin Holland,Red,Welterweight
09/16/2023,Raul Rosas Jr.,Terrence Mitchell,Red,Bantamweight
09/16/2023,Daniel Zellhuber,Christos Giagos,Red,Lightweight
09/16/2023,Kyle Nelson,Fernando Padilla,Red,Featherweight
09/16/2023,Loopy Godinez,Elise Reed,Red,Women's Strawweight
09/16/2023,Roman Kopylov,Josh Fremd,Red,Middleweight
09/16/2023,Tracy Cortez,Jasmine Jasudavicius,Red,Women's Flyweight
09/16/2023,Charlie Campbell,Alex Reyes,Red,Lightweight
09/16/2023,Josefine Knutsson,Marnic Mann,Red,Women's Strawweight
09/09/2023,Sean Strickland,Israel Adesanya,Red,UFC Middleweight Title
09/09/2023,Alexander Volkov,Tai Tuivasa,Red,Heavyweight
09/09/2023,Manel Kape,Felipe dos Santos,Red,Flyweight
09/09/2023,Justin Tafa,Austen Lane,Red,Heavyweight
09/09/2023,Tyson Pedro,Anton Turkalj,Red,Light Heavyweight
09/09/2023,Carlos Ulberg,Da Woon Jung,Red,Light Heavyweight
09/09/2023,Chepe Mariscal,Jack Jenkins,Red,Featherweight
09/09/2023,Jamie Mullarkey,John Makdessi,Red,Lightweight
09/09/2023,Nasrat Haqparast,Landon Quinones,Red,Lightweight
09/09/2023,Charles Radtke,Blood Diamond,Red,Welterweight
09/09/2023,Gabriel Miranda,Shane Young,Red,Featherweight
09/09/2023,Kevin Jousset,Kiefer Crosbie,Red,Welterweight
09/02/2023,Ciryl Gane,Serghei Spivac,Red,Heavyweight
09/02/2023,Manon Fiorot,Rose Namajunas,Red,Women's Flyweight
09/02/2023,Benoit Saint Denis,Thiago Moises,Red,Lightweight
09/02/2023,Volkan Oezdemir,Bogdan Guskov,Red,Light Heavyweight
09/02/2023,William Gomis,Yanis Ghemmouri,Red,Featherweight
09/02/2023,Morgan Charriere,Manolo Zecchini,Red,Featherweight
09/02/2023,Taylor Lapilus,Caolan Loughran,Red,Bantamweight
09/02/2023,Ange Loosa,Rhys McKee,Red,Welterweight
09/02/2023,Nora Cornolle,Joselyne Edwards,Red,Women's Bantamweight
09/02/2023,Farid Basharat,Kleydson Rodrigues,Red,Bantamweight
09/02/2023,Jacqueline Cavalcanti,Zarah Fairn,Red,Catch Weight
08/26/2023,Max Holloway,Chan Sung Jung,Red,Featherweight
08/26/2023,Anthony Smith,Ryan Spann,Red,Light Heavyweight
08/26/2023,Giga Chikadze,Alex Caceres,Red,Featherweight
08/26/2023,Rinya Nakamura,Fernie Garcia,Red,Bantamweight
08/26/2023,Erin Blanchfield,Taila Santos,Red,Women's Flyweight
08/26/2023,Junior Tafa,Parker Porter,Red,Heavyweight
08/26/2023,Waldo Cortes-Acosta,Lukasz Brzeski,Red,Heavyweight
08/26/2023,Garrett Armfield,Toshiomi Kazama,Red,Bantamweight
08/26/2023,Michal Oleksiejczuk,Chidi Njokuani,Red,Middleweight
08/26/2023,Song Kenan,Rolando Bedoya,Red,Welterweight
08/26/2023,Billy Goff,Yusaku Kinoshita,Red,Welterweight
08/26/2023,JJ Aldrich,Liang Na,Red,Women's Flyweight
08/26/2023,SeungWoo Choi,Jarno Errens,Red,Featherweight
08/19/2023,Sean O'Malley,Aljamain Sterling,Red,UFC Bantamweight Title
08/19/2023,Zhang Weili,Amanda Lemos,Red,UFC Women's Strawweight Title
08/19/2023,Ian Machado Garry,Neil Magny,Red,Welterweight
08/19/2023,Mario Bautista,Da'Mon Blackshear,Red,Bantamweight
08/19/2023,Marlon Vera,Pedro Munhoz,Red,Bantamweight
08/19/2023,Brad Tavares,Chris Weidman,Red,Middleweight
08/19/2023,Gregory Rodrigues,Denis Tiuliulin,Red,Middleweight
08/19/2023,Kurt Holobaugh,Austin Hubbard,Red,Lightweight
08/19/2023,Brad Katona,Cody Gibson,Red,Bantamweight
08/19/2023,Andre Petroski,Gerald Meerschaert,Red,Middleweight
08/19/2023,Natalia Silva,Andrea Lee,Red,Women's Flyweight
08/19/2023,Karine Silva,Maryna Moroz,Red,Women's Flyweight
08/12/2023,Vicente Luque,Rafael Dos Anjos,Red,Welterweight
08/12/2023,Cub Swanson,Hakeem Dawodu,Red,Featherweight
08/12/2023,Khalil Rountree Jr.,Chris Daukaus,Red,Light Heavyweight
08/12/2023,Iasmin Lucindo,Polyana Viana,Red,Women's Strawweight
08/12/2023,AJ Dobson,Tafon Nchukwi,Red,Middleweight
08/12/2023,Josh Fremd,Jamie Pickett,Red,Middleweight
08/12/2023,Marcus McGhee,JP Buys,Red,Bantamweight
08/12/2023,Terrance McKinney,Mike Breeden,Red,Lightweight
08/12/2023,Isaac Dulgarian,Francis Marshall,Red,Featherweight
08/12/2023,Martin Buday,Josh Parisian,Red,Heavyweight
08/12/2023,Jaqueline Amorim,Montserrat Conejo Ruiz,Red,Women's Strawweight
08/12/2023,Da'Mon Blackshear,Jose Johnson,Red,Bantamweight
08/12/2023,Luana Santos,Juliana Miller,Red,Women's Flyweight
08/05/2023,Cory Sandhagen,Rob Font,Red,Catch Weight
08/05/2023,Tatiana Suarez,Jessica Andrade,Red,Women's Strawweight
08/05/2023,Dustin Jacoby,Kennedy Nzechukwu,Red,Light Heavyweight
08/05/2023,Diego Lopes,Gavin Tucker,Red,Featherweight
08/05/2023,Tanner Boser,Aleksa Camur,Red,Light Heavyweight
08/05/2023,Ludovit Klein,Ignacio Bahamondes,Red,Lightweight
08/05/2023,Kyler Phillips,Raoni Barcelos,Red,Bantamweight
08/05/2023,Carlston Harris,Jeremiah Wells,Red,Welterweight
08/05/2023,Billy Quarantillo,Damon Jackson,Red,Featherweight
08/05/2023,Cody Durden,Jake Hadley,Red,Flyweight
08/05/2023,Sean Woodson,Dennis Buzukja,Red,Featherweight
08/05/2023,Asu Almabayev,Ode Osbourne,Red,Flyweight
07/29/2023,Justin Gaethje,Dustin Poirier,Red,Lightweight
07/29/2023,Alex Pereira,Jan Blachowicz,Red,Light Heavyweight
07/29/2023,Derrick Lewis,Marcos Rogerio de Lima,Red,Heavyweight
07/29/2023,Bobby Green,Tony Ferguson,Red,Lightweight
07/29/2023,Kevin Holland,Michael Chiesa,Red,Welterweight
07/29/2023,Gabriel Bonfim,Trevin Giles,Red,Welterweight
07/29/2023,CJ Vergara,Vinicius Salvador,Red,Flyweight
07/29/2023,Roman Kopylov,Claudio Ribeiro,Red,Middleweight
07/29/2023,Jake Matthews,Darrius Flowers,Red,Welterweight
07/29/2023,Uros Medic,Matthew Semelsberger,Red,Welterweight
07/29/2023,Miranda Maverick,Priscila Cachoeira,Red,Women's Flyweight
07/22/2023,Tom Aspinall,Marcin Tybura,Red,Heavyweight
07/22/2023,Julija Stoliarenko,Molly McCann,Red,Women's Flyweight
07/22/2023,Nathaniel Wood,Andre Fili,Red,Featherweight
07/22/2023,Paul Craig,Andre Muniz,Red,Middleweight
07/22/2023,Fares Ziam,Jai Herbert,Red,Lightweight
07/22/2023,Lerone Murphy,Josh Culibao,Red,Featherweight
07/22/2023,Daniel Marcos,Davey Grant,Red,Bantamweight
07/22/2023,Jonny Parsons,Danny Roberts,Red,Welterweight
07/22/2023,Joel Alvarez,Marc Diakiese,Red,Lightweight
07/22/2023,Mick Parkin,Jamal Pogues,Red,Heavyweight
07/22/2023,Makhmud Muradov,Bryan Barberena,Red,Middleweight
07/22/2023,Ketlen Vieira,Pannie Kianzad,Red,Women's Bantamweight
07/22/2023,Chris Duncan,Yanal Ashmouz,Red,Lightweight
07/22/2023,Bruna Brasil,Shauna Bannon,Red,Women's Strawweight
07/22/2023,Jafel Filho,Daniel Barez,Red,Flyweight
07/15/2023,Jack Della Maddalena,Bassil Hafez,Red,Welterweight
07/15/2023,Francisco Prado,Ottman Azaitar,Red,Lightweight
07/15/2023,JunYong Park,Albert Duraev,Red,Middleweight
07/15/2023,Norma Dumont,Chelsea Chandler,Red,Women's Featherweight
07/15/2023,Nazim Sadykhov,Terrance McKinney,Red,Lightweight
07/15/2023,Melsik Baghdasaryan,Tucker Lutz,Red,Featherweight
07/15/2023,Viktoriia Dudakova,Istela Nunes,Red,Women's Strawweight
07/15/2023,Melquizael Costa,Austin Lingo,Red,Featherweight
07/15/2023,Evan Elder,Genaro Valdez,Red,Lightweight
07/15/2023,Azat Maksum,Tyson Nam,Red,Flyweight
07/15/2023,Alexander Munoz,Carl Deaton,Red,Lightweight
07/15/2023,Ailin Perez,Ashlee Evans-Smith,Red,Women's Bantamweight
07/08/2023,Alexander Volkanovski,Yair Rodriguez,Red,UFC Featherweight Title
07/08/2023,Alexandre Pantoja,Brandon Moreno,Red,UFC Flyweight Title
07/08/2023,Dricus Du Plessis,Robert Whittaker,Red,Middleweight
07/08/2023,Dan Hooker,Jalin Turner,Red,Lightweight
07/08/2023,Bo Nickal,Val Woodburn,Red,Middleweight
07/08/2023,Robbie Lawler,Niko Price,Red,Welterweight
07/08/2023,Tatsuro Taira,Edgar Chairez,Red,Catch Weight
07/08/2023,Denise Gomes,Yazmin Jauregui,Red,Women's Strawweight
07/08/2023,Alonzo Menifield,Jimmy Crute,Red,Light Heavyweight
07/08/2023,Vitor Petrino,Marcin Prachnio,Red,Light Heavyweight
07/08/2023,Cameron Saaiman,Terrence Mitchell,Red,Bantamweight
07/08/2023,Jesus Aguilar,Shannon Ross,Red,Flyweight
07/08/2023,Esteban Ribovics,Kamuela Kirk,Red,Lightweight
07/01/2023,Sean Strickland,Abus Magomedov,Red,Middleweight
07/01/2023,Grant Dawson,Damir Ismagulov,Red,Lightweight
07/01/2023,Michael Morales,Max Griffin,Red,Welterweight
07/01/2023,Ariane Lipski,Melissa Gatto,Red,Women's Flyweight
07/01/2023,Benoit Saint Denis,Ismael Bonfim,Red,Lightweight
07/01/2023,Nursulton Ruziboev,Brunno Ferreira,Red,Middleweight
07/01/2023,Rinat Fakhretdinov,Kevin Lee,Red,Welterweight
07/01/2023,Joanderson Brito,Westin Wilson,Red,Featherweight
07/01/2023,Karol Rosa,Yana Santos,Red,Women's Featherweight
07/01/2023,Elves Brener,Guram Kutateladze,Red,Lightweight
07/01/2023,Luana Carolina,Ivana Petrovic,Red,Women's Flyweight
07/01/2023,Alexandr Romanov,Blagoy Ivanov,Red,Heavyweight
06/24/2023,Ilia Topuria,Josh Emmett,Red,Featherweight
06/24/2023,Maycee Barber,Amanda Ribas,Red,Women's Flyweight
06/24/2023,David Onama,Gabriel Santos,Red,Featherweight
06/24/2023,Brendan Allen,Bruno Silva,Red,Middleweight
06/24/2023,Neil Magny,Phil Rowe,Red,Welterweight
06/24/2023,Randy Brown,Wellington Turman,Red,Welterweight
06/24/2023,Mateusz Rebecki,Loik Radzhabov,Red,Lightweight
06/24/2023,Tabatha Ricci,Gillian Robertson,Red,Women's Strawweight
06/24/2023,Joshua Van,Zhalgas Zhumagulov,Red,Flyweight
06/24/2023,Chepe Mariscal,Trevor Peek,Red,Lightweight
06/24/2023,Jack Jenkins,Jamall Emmers,Red,Featherweight
06/24/2023,Sedriques Dumas,Cody Brundage,Red,Middleweight
06/17/2023,Jared Cannonier,Marvin Vettori,Red,Middleweight
06/17/2023,Arman Tsarukyan,Joaquim Silva,Red,Lightweight
06/17/2023,Armen Petrosyan,Christian Leroy Duncan,Red,Middleweight
06/17/2023,Pat Sabatini,Lucas Almeida,Red,Featherweight
