date,r_fighter,b_fighter,winner,weight_class
02/17/2024,Alexander Volkanovski,Ilia Topuria,Blue,UFC Featherweight Title
02/17/2024,Robert Whittaker,Paulo Costa,Red,Middleweight
02/17/2024,Geoff Neal,Ian Machado Garry,Blue,Welterweight
02/17/2024,Merab Dvalishvili,Henry Cejudo,Red,Bantamweight
02/17/2024,Anthony Hernandez,Roman Kopylov,Red,Middleweight
02/17/2024,Amanda Lemos,Mackenzie Dern,Red,Women's Strawweight
02/17/2024,Marcos Rogerio de Lima,Junior Tafa,Red,Heavyweight
02/17/2024,Rinya Nakamura,Carlos Vera,Red,Bantamweight
02/17/2024,Zhang Mingyang,Brendson Ribeiro,Red,Light Heavyweight
02/17/2024,Josh Quinlan,Danny Barlow,Blue,Welterweight
02/17/2024,Oban Elliott,Val Woodburn,Red,Welterweight
02/17/2024,Andrea Lee,Miranda Maverick,Blue,Women's Flyweight
02/10/2024,Jack Hermansson,Joe Pyfer,Red,Middleweight
02/10/2024,Dan Ige,Andre Fili,Red,Featherweight
02/10/2024,Robert Bryczek,Ihor Potieria,Blue,Middleweight
02/10/2024,Brad Tavares,Gregory Rodrigues,Blue,Middleweight
02/10/2024,Michael Johnson,Darrius Flowers,Red,Lightweight
02/10/2024,Rodolfo Vieira,Armen Petrosyan,Red,Middleweight
02/10/2024,Trevin Giles,Carlos Prates,Blue,Welterweight
02/10/2024,Bolaji Oki,Timmy Cuamba,Red,Lightweight
02/10/2024,Loma Lookboonmee,Bruna Brasil,Red,Women's Strawweight
02/10/2024,Devin Clark,Marcin Prachnio,Blue,Light Heavyweight
02/10/2024,Max Griffin,Jeremiah Wells,Red,Welterweight
02/10/2024,Zac Pauga,Bogdan Guskov,Blue,Light Heavyweight
02/10/2024,Fernie Garcia,Hyder Amil,Blue,Featherweight
02/03/2024,Roman Dolidze,Nassourdine Imavov,Blue,Middleweight
02/03/2024,Renato Moicano,Drew Dober,Red,Lightweight
02/03/2024,Randy Brown,Muslim Salikhov,Red,Welterweight
02/03/2024,Viviane Araujo,Natalia Silva,Blue,Women's Flyweight
02/03/2024,Gilbert Urbina,Charles Radtke,Blue,Welterweight
02/03/2024,Molly McCann,Diana Belbita,Red,Women's Strawweight
02/03/2024,Azat Maksum,Charles Johnson,Blue,Flyweight
02/03/2024,Themba Gorimbo,Pete Rodriguez,Red,Welterweight
02/03/2024,JeongYeong Lee,Blake Bilder,Red,Featherweight
02/03/2024,Luana Carolina,Julija Stoliarenko,Red,Women's Flyweight
02/03/2024,Landon Quinones,MarQuel Mederos,Blue,Lightweight
02/03/2024,Thomas Petersen,Jamal Pogues,Blue,Heavyweight
01/20/2024,Sean Strickland,Dricus Du Plessis,Blue,UFC Middleweight Title
01/20/2024,Raquel Pennington,Mayra Bueno Silva,Red,UFC Women's Bantamweight Title
01/20/2024,Neil Magny,Mike Malott,Red,Welterweight
01/20/2024,Chris Curtis,Marc-Andre Barriault,Red,Middleweight
01/20/2024,Arnold Allen,Movsar Evloev,Blue,Featherweight
01/20/2024,Brad Katona,Garrett Armfield,Blue,Bantamweight
01/20/2024,Charles Jourdain,Sean Woodson,Blue,Featherweight
01/20/2024,Serhiy Sidey,Ramon Taveras,Blue,Bantamweight
01/20/2024,Gillian Robertson,Polyana Viana,Red,Women's Strawweight
01/20/2024,Yohan Lainesse,Sam Patterson,Blue,Welterweight
01/20/2024,Jasmine Jasudavicius,Priscila Cachoeira,Red,Women's Bantamweight
01/20/2024,Malcolm Gordon,Jimmy Flick,Blue,Flyweight
01/13/2024,Magomed Ankalaev,Johnny Walker,Red,Light Heavyweight
01/13/2024,Jim Miller,Gabriel Benitez,Red,Lightweight
01/13/2024,Ricky Simon,Mario Bautista,Blue,Bantamweight
01/13/2024,Phil Hawes,Brunno Ferreira,Blue,Middleweight
01/13/2024,Andrei Arlovski,Waldo Cortes-Acosta,Blue,Heavyweight
01/13/2024,Matthew Semelsberger,Preston Parsons,Blue,Welterweight
01/13/2024,Marcus McGhee,Gaston Bolanos,Red,Bantamweight
01/13/2024,Farid Basharat,Taylor Lapilus,Red,Bantamweight
01/13/2024,Westin Wilson,Jean Silva,Blue,Featherweight
01/13/2024,Nikolas Motta,Tom Nolan,Red,Lightweight
01/13/2024,Joshua Van,Felipe Bunes,Red,Flyweight
12/16/2023,Leon Edwards,Colby Covington,Red,UFC Welterweight Title
12/16/2023,Alexandre Pantoja,Brandon Royval,Red,UFC Flyweight Title
12/16/2023,Shavkat Rakhmonov,Stephen Thompson,Red,Welterweight
12/16/2023,Tony Ferguson,Paddy Pimblett,Blue,Lightweight
12/16/2023,Josh Emmett,Bryce Mitchell,Red,Featherweight
12/16/2023,Alonzo Menifield,Dustin Jacoby,Red,Light Heavyweight
12/16/2023,Irene Aldana,Karol Rosa,Red,Women's Bantamweight
12/16/2023,Cody Garbrandt,Brian Kelleher,Red,Bantamweight
12/16/2023,Casey O'Neill,Ariane Lipski,Blue,Women's Flyweight
12/16/2023,Tagir Ulanbekov,Cody Durden,Red,Flyweight
12/16/2023,Andre Fili,Lucas Almeida,Red,Featherweight
12/16/2023,Martin Buday,Shamil Gaziev,Blue,Heavyweight
12/09/2023,Song Yadong,Chris Gutierrez,Red,Bantamweight
12/09/2023,Anthony Smith,Khalil Rountree Jr.,Blue,Light Heavyweight
12/09/2023,Nasrat Haqparast,Jamie Mullarkey,Red,Lightweight
12/09/2023,Tim Elliott,Sumudaerji,Red,Bantamweight
12/09/2023,JunYong Park,Andre Muniz,Blue,Middleweight
12/09/2023,Song Kenan,Kevin Jousset,Blue,Welterweight
12/09/2023,HyunSung Park,Shannon Ross,Red,Flyweight
12/09/2023,Steve Garcia,Melquizael Costa,Red,Lightweight
12/09/2023,Luana Santos,Stephanie Egger,Red,Women's Bantamweight
12/09/2023,Tatsuro Taira,Carlos Hernandez,Red,Flyweight
12/09/2023,Rayanne Amanda,Talita Alencar,Blue,Women's Strawweight
12/02/2023,Beneil Dariush,Arman Tsarukyan,Blue,Lightweight
12/02/2023,Jalin Turner,Bobby Green,Red,Lightweight
12/02/2023,Rob Font,Deiveson Figueiredo,Blue,Bantamweight
12/02/2023,Sean Brady,Kelvin Gastelum,Red,Welterweight
12/02/2023,Clay Guida,Joaquim Silva,Blue,Lightweight
12/02/2023,Punahele Soriano,Dustin Stoltzfus,Blue,Middleweight
12/02/2023,Miesha Tate,Julia Avila,Red,Women's Bantamweight
12/02/2023,Zach Reese,Cody Brundage,Blue,Middleweight
12/02/2023,Drakkar Klose,Joe Solecki,Red,Lightweight
12/02/2023,Rodolfo Bellato,Ihor Potieria,Red,Light Heavyweight
12/02/2023,Wellington Turman,Jared Gooden,Blue,Welterweight
12/02/2023,Veronica Hardy,Jamey-Lyn Horth,Red,Women's Flyweight
11/18/2023,Brendan Allen,Paul Craig,Red,Middleweight
11/18/2023,Michael Morales,Jake Matthews,Red,Welterweight
11/18/2023,Chase Hooper,Jordan Leavitt,Red,Lightweight
11/18/2023,Payton Talbott,Nick Aguirre,Red,Bantamweight
11/18/2023,Luana Pinheiro,Amanda Ribas,Blue,Women's Strawweight
11/18/2023,Uros Medic,Myktybek Orolbai,Blue,Welterweight
11/18/2023,Jonathan Pearce,Joanderson Brito,Blue,Featherweight
11/18/2023,Chad Anheliger,Jose Johnson,Blue,Bantamweight
11/18/2023,Christian Leroy Duncan,Denis Tiuliulin,Red,Middleweight
11/18/2023,Mick Parkin,Caio Machado,Red,Heavyweight
11/18/2023,Jeka Saragih,Lucas Alexander,Red,Featherweight
11/18/2023,Lucie Pudilova,Ailin Perez,Blue,Women's Bantamweight
11/18/2023,Charles Johnson,Rafael Estevam,Blue,Flyweight
11/11/2023,Jiri Prochazka,Alex Pereira,Blue,UFC Light Heavyweight Title
11/11/2023,Sergei Pavlovich,Tom Aspinall,Blue,UFC Interim Heavyweight Title
11/11/2023,Jessica Andrade,Mackenzie Dern,Red,Women's Strawweight
11/11/2023,Matt Frevola,Benoit Saint Denis,Blue,Lightweight
11/11/2023,Diego Lopes,Pat Sabatini,Red,Featherweight
11/11/2023,Steve Erceg,Alessandro Costa,Red,Flyweight
11/11/2023,Tabatha Ricci,Loopy Godinez,Blue,Women's Strawweight
11/11/2023,Mateusz Rebecki,Roosevelt Roberts,Red,Lightweight
11/11/2023,Jared Gordon,Mark Madsen,Red,Lightweight
11/11/2023,John Castaneda,Kyung Ho Kang,Red,Catch Weight
11/11/2023,Joshua Van,Kevin Borjas,Red,Flyweight
11/11/2023,Dennis Buzukja,Jamall Emmers,Blue,Featherweight
11/04/2023,Jailton Almeida,Derrick Lewis,Red,Heavyweight
11/04/2023,Gabriel Bonfim,Nicolas Dalby,Blue,Welterweight
11/04/2023,Rodrigo Nascimento,Don'Tale Mayes,Red,Heavyweight
11/04/2023,Caio Borralho,Abus Magomedov,Red,Middleweight
11/04/2023,Elves Brener,Kaynan Kruschewsky,Red,Catch Weight
11/04/2023,Vitor Petrino,Modestas Bukauskas,Red,Light Heavyweight
11/04/2023,Angela Hill,Denise Gomes,Red,Women's Strawweight
11/04/2023,Eduarda Moura,Montserrat Conejo Ruiz,Red,Women's Strawweight
11/04/2023,Kaue Fernandes,Marc Diakiese,Blue,Lightweight
10/21/2023,Islam Makhachev,Alexander Volkanovski,Red,UFC Lightweight Title
10/21/2023,Kamaru Usman,Khamzat Chimaev,Blue,Middleweight
10/21/2023,Ikram Aliskerov,Warlley Alves,Red,Middleweight
10/21/2023,Said Nurmagomedov,Muin Gafurov,Red,Bantamweight
10/21/2023,Tim Elliott,Muhammad Mokaev,Blue,Flyweight
10/21/2023,Mohammad Yahya,Trevor Peek,Blue,Lightweight
10/21/2023,Abu Azaitar,Sedriques Dumas,Blue,Middleweight
10/21/2023,Mike Breeden,Anshul Jubli,Red,Lightweight
10/21/2023,Nathaniel Wood,Muhammad Naimov,Blue,Featherweight
10/21/2023,Viktoriia Dudakova,Jinh Yu Frey,Red,Women's Strawweight
10/21/2023,Shara Magomedov,Bruno Silva,Red,Middleweight
10/14/2023,Sodiq Yusuff,Edson Barboza,Blue,Featherweight
10/14/2023,Jennifer Maia,Viviane Araujo,Blue,Women's Flyweight
10/14/2023,Jonathan Martinez,Adrian Yanez,Red,Bantamweight
10/14/2023,Andre Petroski,Michel Pereira,Blue,Middleweight
10/14/2023,Christian Rodriguez,Cameron Saaiman,Red,Bantamweight
10/14/2023,Darren Elkins,TJ Brown,Red,Featherweight
10/14/2023,Tainara Lisboa,Ravena Oliveira,Red,Women's Bantamweight
10/14/2023,Terrance McKinney,Brendon Marotte,Red,Lightweight
10/14/2023,Irina Alekseeva,Melissa Dixon,Blue,Women's Bantamweight
10/14/2023,Chris Gutierrez,Alatengheili,Red,Bantamweight
10/14/2023,Ashley Yoder,Emily Ducote,Blue,Women's Strawweight
10/07/2023,Grant Dawson,Bobby Green,Blue,Lightweight
10/07/2023,Joe Pyfer,Abdul Razak Alhassan,Red,Middleweight
10/07/2023,Alex Morono,Joaquin Buckley,Blue,Welterweight
10/07/2023,Drew Dober,Ricky Glenn,Red,Lightweight
10/07/2023,Alexander Hernandez,Bill Algeo,Blue,Featherweight
10/07/2023,Karolina Kowalkiewicz,Diana Belbita,Red,Women's Strawweight
10/07/2023,Nate Maness,Mateus Mendonca,Red,Flyweight
10/07/2023,Vanessa Demopoulos,Kanako Murata,Red,Women's Strawweight
10/07/2023,Aoriqileng,Johnny Munoz,Red,Bantamweight
10/07/2023,Montana De La Rosa,JJ Aldrich,Blue,Women's Flyweight
09/23/2023,Rafael Fiziev,Mateusz Gamrot,Blue,Lightweight
09/23/2023,Bryce Mitchell,Dan Ige,Red,Featherweight
09/23/2023,Marina Rodriguez,Michelle Waterson-Gomez,Red,Women's Strawweight
09/23/2023,Bryan Battle,AJ Fletcher,Red,Welterweight
09/23/2023,Ricardo Ramos,Charles Jourdain,Blue,Featherweight
09/23/2023,Tim Means,Andre Fialho,Red,Welterweight
09/23/2023,Jacob Malkoun,Cody Brundage,Blue,Middleweight
09/23/2023,Mohammed Usman,Jake Collier,Red,Heavyweight
09/23/2023,Mizuki,Hannah Goldy,Red,Women's Strawweight
09/23/2023,Tamires Vidal,Montserrat Rendon,Blue,Women's Bantamweight
09/16/2023,Kevin Holland,Jack Della Maddalena,Blue,Welterweight
09/16/2023,Raul Rosas Jr.,Terrence Mitchell,Red,Bantamweight
09/16/2023,Daniel Zellhuber,Christos Giagos,Red,Lightweight
09/16/2023,Fernando Padilla,Kyle Nelson,Blue,Featherweight
09/16/2023,Loopy Godinez,Elise Reed,Red,Women's Strawweight
09/16/2023,Roman Kopylov,Josh Fremd,Red,Middleweight
09/16/2023,Tracy Cortez,Jasmine Jasudavicius,Red,Women's Flyweight
09/16/2023,Alex Reyes,Charlie Campbell,Blue,Lightweight
09/16/2023,Josefine Knutsson,Marnic Mann,Red,Women's Strawweight
09/09/2023,Israel Adesanya,Sean Strickland,Blue,UFC Middleweight Title
09/09/2023,Tai Tuivasa,Alexander Volkov,Blue,Heavyweight
09/09/2023,Manel Kape,Felipe dos Santos,Red,Flyweight
09/09/2023,Justin Tafa,Austen Lane,Red,Heavyweight
09/09/2023,Tyson Pedro,Anton Turkalj,Red,Light Heavyweight
09/09/2023,Carlos Ulberg,Da Woon Jung,Red,Light Heavyweight
09/09/2023,Jack Jenkins,Chepe Mariscal,Blue,Featherweight
09/09/2023,Jamie Mullarkey,John Makdessi,Red,Lightweight
09/09/2023,Nasrat Haqparast,Landon Quinones,Red,Lightweight
09/09/2023,Blood Diamond,Charles Radtke,Blue,Welterweight
09/09/2023,Shane Young,Gabriel Miranda,Blue,Featherweight
09/09/2023,Kevin Jousset,Kiefer Crosbie,Red,Welterweight
09/02/2023,Ciryl Gane,Serghei Spivac,Red,Heavyweight
09/02/2023,Manon Fiorot,Rose Namajunas,Red,Women's Flyweight
09/02/2023,Benoit Saint Denis,Thiago Moises,Red,Lightweight
09/02/2023,Volkan Oezdemir,Bogdan Guskov,Red,Light Heavyweight
09/02/2023,William Gomis,Yanis Ghemmouri,Red,Featherweight
09/02/2023,Morgan Charriere,Manolo Zecchini,Red,Featherweight
09/02/2023,Taylor Lapilus,Caolan Loughran,Red,Bantamweight
09/02/2023,Ange Loosa,Rhys McKee,Red,Welterweight
09/02/2023,Nora Cornolle,Joselyne Edwards,Red,Women's Bantamweight
09/02/2023,Farid Basharat,Kleydson Rodrigues,Red,Bantamweight
09/02/2023,Zarah Fairn,Jacqueline Cavalcanti,Blue,Catch Weight
08/26/2023,Max Holloway,Chan Sung Jung,Red,Featherweight
08/26/2023,Anthony Smith,Ryan Spann,Red,Light Heavyweight
08/26/2023,Giga Chikadze,Alex Caceres,Red,Featherweight
08/26/2023,Rinya Nakamura,Fernie Garcia,Red,Bantamweight
08/26/2023,Erin Blanchfield,Taila Santos,Red,Women's Flyweight
08/26/2023,Junior Tafa,Parker Porter,Red,Heavyweight
08/26/2023,Waldo Cortes-Acosta,Lukasz Brzeski,Red,Heavyweight
08/26/2023,Toshiomi Kazama,Garrett Armfield,Blue,Bantamweight
08/26/2023,Chidi Njokuani,Michal Oleksiejczuk,Blue,Middleweight
08/26/2023,Song Kenan,Rolando Bedoya,Red,Welterweight
08/26/2023,Billy Goff,Yusaku Kinoshita,Red,Welterweight
08/26/2023,Liang Na,JJ Aldrich,Blue,Women's Flyweight
08/26/2023,SeungWoo Choi,Jarno Errens,Red,Featherweight
08/19/2023,Aljamain Sterling,Sean O'Malley,Blue,UFC Bantamweight Title
08/19/2023,Zhang Weili,Amanda Lemos,Red,UFC Women's Strawweight Title
08/19/2023,Neil Magny,Ian Machado Garry,Blue,Welterweight
08/19/2023,Da'Mon Blackshear,Mario Bautista,Blue,Bantamweight
08/19/2023,Marlon Vera,Pedro Munhoz,Red,Bantamweight
08/19/2023,Chris Weidman,Brad Tavares,Blue,Middleweight
08/19/2023,Gregory Rodrigues,Denis Tiuliulin,Red,Middleweight
08/19/2023,Kurt Holobaugh,Austin Hubbard,Red,Lightweight
08/19/2023,Brad Katona,Cody Gibson,Red,Bantamweight
08/19/2023,Andre Petroski,Gerald Meerschaert,Red,Middleweight
08/19/2023,Andrea Lee,Natalia Silva,Blue,Women's Flyweight
08/19/2023,Karine Silva,Maryna Moroz,Red,Women's Flyweight
08/12/2023,Vicente Luque,Rafael Dos Anjos,Red,Welterweight
08/12/2023,Cub Swanson,Hakeem Dawodu,Red,Featherweight
08/12/2023,Khalil Rountree Jr.,Chris Daukaus,Red,Light Heavyweight
08/12/2023,Polyana Viana,Iasmin Lucindo,Blue,Women's Strawweight
08/12/2023,AJ Dobson,Tafon Nchukwi,Red,Middleweight
08/12/2023,Josh Fremd,Jamie Pickett,Red,Middleweight
08/12/2023,JP Buys,Marcus McGhee,Blue,Bantamweight
08/12/2023,Terrance McKinney,Mike Breeden,Red,Lightweight
08/12/2023,Francis Marshall,Isaac Dulgarian,Blue,Featherweight
08/12/2023,Josh Parisian,Martin Buday,Blue,Heavyweight
08/12/2023,Jaqueline Amorim,Montserrat Conejo Ruiz,Red,Women's Strawweight
08/12/2023,Da'Mon Blackshear,Jose Johnson,Red,Bantamweight
08/12/2023,Juliana Miller,Luana Santos,Blue,Women's Flyweight
08/05/2023,Cory Sandhagen,Rob Font,Red,Catch Weight
08/05/2023,Jessica Andrade,Tatiana Suarez,Blue,Women's Strawweight
08/05/2023,Dustin Jacoby,Kennedy Nzechukwu,Red,Light Heavyweight
08/05/2023,Diego Lopes,Gavin Tucker,Red,Featherweight
08/05/2023,Tanner Boser,Aleksa Camur,Red,Light Heavyweight
08/05/2023,Ignacio Bahamondes,Ludovit Klein,Blue,Lightweight
08/05/2023,Kyler Phillips,Raoni Barcelos,Red,Bantamweight
08/05/2023,Jeremiah Wells,Carlston Harris,Blue,Welterweight
08/05/2023,Billy Quarantillo,Damon Jackson,Red,Featherweight
08/05/2023,Cody Durden,Jake Hadley,Red,Flyweight
08/05/2023,Sean Woodson,Dennis Buzukja,Red,Featherweight
08/05/2023,Ode Osbourne,Asu Almabayev,Blue,Flyweight
07/29/2023,Dustin Poirier,Justin Gaethje,Blue,Lightweight
07/29/2023,Jan Blachowicz,Alex Pereira,Blue,Light Heavyweight
07/29/2023,Derrick Lewis,Marcos Rogerio de Lima,Red,Heavyweight
07/29/2023,Tony Ferguson,Bobby Green,Blue,Lightweight
07/29/2023,Michael Chiesa,Kevin Holland,Blue,Welterweight
07/29/2023,Gabriel Bonfim,Trevin Giles,Red,Welterweight
07/29/2023,CJ Vergara,Vinicius Salvador,Red,Flyweight
07/29/2023,Roman Kopylov,Claudio Ribeiro,Red,Middleweight
07/29/2023,Jake Matthews,Darrius Flowers,Red,Welterweight
07/29/2023,Matthew Semelsberger,Uros Medic,Blue,Welterweight
07/29/2023,Miranda Maverick,Priscila Cachoeira,Red,Women's Flyweight
07/22/2023,Tom Aspinall,Marcin Tybura,Red,Heavyweight
07/22/2023,Molly McCann,Julija Stoliarenko,Blue,Women's Flyweight
07/22/2023,Nathaniel Wood,Andre Fili,Red,Featherweight
07/22/2023,Paul Craig,Andre Muniz,Red,Middleweight
07/22/2023,Jai Herbert,Fares Ziam,Blue,Lightweight
07/22/2023,Lerone Murphy,Josh Culibao,Red,Featherweight
07/22/2023,Davey Grant,Daniel Marcos,Blue,Bantamweight
07/22/2023,Danny Roberts,Jonny Parsons,Blue,Welterweight
07/22/2023,Marc Diakiese,Joel Alvarez,Blue,Lightweight
07/22/2023,Mick Parkin,Jamal Pogues,Red,Heavyweight
07/22/2023,Makhmud Muradov,Bryan Barberena,Red,Middleweight
07/22/2023,Ketlen Vieira,Pannie Kianzad,Red,Women's Bantamweight
07/22/2023,Chris Duncan,Yanal Ashmouz,Red,Lightweight
07/22/2023,Shauna Bannon,Bruna Brasil,Blue,Women's Strawweight
07/22/2023,Jafel Filho,Daniel Barez,Red,Flyweight
07/15/2023,Jack Della Maddalena,Bassil Hafez,Red,Welterweight
07/15/2023,Ottman Azaitar,Francisco Prado,Blue,Lightweight
07/15/2023,Albert Duraev,JunYong Park,Blue,Middleweight
07/15/2023,Norma Dumont,Chelsea Chandler,Red,Women's Featherweight
07/15/2023,Nazim Sadykhov,Terrance McKinney,Red,Lightweight
07/15/2023,Tucker Lutz,Melsik Baghdasaryan,Blue,Featherweight
07/15/2023,Viktoriia Dudakova,Istela Nunes,Red,Women's Strawweight
07/15/2023,Austin Lingo,Melquizael Costa,Blue,Featherweight
07/15/2023,Evan Elder,Genaro Valdez,Red,Lightweight
07/15/2023,Tyson Nam,Azat Maksum,Blue,Flyweight
07/15/2023,Alexander Munoz,Carl Deaton,Red,Lightweight
07/15/2023,Ashlee Evans-Smith,Ailin Perez,Blue,Women's Bantamweight
07/08/2023,Alexander Volkanovski,Yair Rodriguez,Red,UFC Featherweight Title
07/08/2023,Brandon Moreno,Alexandre Pantoja,Blue,UFC Flyweight Title
07/08/2023,Robert Whittaker,Dricus Du Plessis,Blue,Middleweight
07/08/2023,Jalin Turner,Dan Hooker,Blue,Lightweight
07/08/2023,Bo Nickal,Val Woodburn,Red,Middleweight
07/08/2023,Robbie Lawler,Niko Price,Red,Welterweight
07/08/2023,Tatsuro Taira,Edgar Chairez,Red,Catch Weight
07/08/2023,Yazmin Jauregui,Denise Gomes,Blue,Women's Strawweight
07/08/2023,Jimmy Crute,Alonzo Menifield,Blue,Light Heavyweight
07/08/2023,Vitor Petrino,Marcin Prachnio,Red,Light Heavyweight
07/08/2023,Cameron Saaiman,Terrence Mitchell,Red,Bantamweight
07/08/2023,Shannon Ross,Jesus Aguilar,Blue,Flyweight
07/08/2023,Kamuela Kirk,Esteban Ribovics,Blue,Lightweight
07/01/2023,Sean Strickland,Abus Magomedov,Red,Middleweight
07/01/2023,Damir Ismagulov,Grant Dawson,Blue,Lightweight
07/01/2023,Max Griffin,Michael Morales,Blue,Welterweight
07/01/2023,Ariane Lipski,Melissa Gatto,Red,Women's Flyweight
07/01/2023,Ismael Bonfim,Benoit Saint Denis,Blue,Lightweight
07/01/2023,Brunno Ferreira,Nursulton Ruziboev,Blue,Middleweight
07/01/2023,Kevin Lee,Rinat Fakhretdinov,Blue,Welterweight
07/01/2023,Joanderson Brito,Westin Wilson,Red,Featherweight
07/01/2023,Yana Santos,Karol Rosa,Blue,Women's Featherweight
07/01/2023,Guram Kutateladze,Elves Brener,Blue,Lightweight
07/01/2023,Ivana Petrovic,Luana Carolina,Blue,Women's Flyweight
07/01/2023,Alexandr Romanov,Blagoy Ivanov,Red,Heavyweight
06/24/2023,Josh Emmett,Ilia Topuria,Blue,Featherweight
06/24/2023,Amanda Ribas,Maycee Barber,Blue,Women's Flyweight
06/24/2023,David Onama,Gabriel Santos,Red,Featherweight
06/24/2023,Brendan Allen,Bruno Silva,Red,Middleweight
06/24/2023,Neil Magny,Phil Rowe,Red,Welterweight
06/24/2023,Randy Brown,Wellington Turman,Red,Welterweight
06/24/2023,Mateusz Rebecki,Loik Radzhabov,Red,Lightweight
06/24/2023,Tabatha Ricci,Gillian Robertson,Red,Women's Strawweight
06/24/2023,Zhalgas Zhumagulov,Joshua Van,Blue,Flyweight
06/24/2023,Trevor Peek,Chepe Mariscal,Blue,Lightweight
06/24/2023,Jamall Emmers,Jack Jenkins,Blue,Featherweight
